Timer started ...
MOD: delay(1250 1250), type(tTMRCO20), from(I1.OSCOUT), to(I1.TIMEROUT)
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(X7.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(X6.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(X5.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(X4.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(X3.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(X2.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(X1.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(X0.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS4g.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS4f.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS4e.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS4d.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS4c.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS4b.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS4a.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS3g.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS3f.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS3e.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS3d.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS3c.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS3b.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS3a.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS2g.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS2f.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS2e.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS2d.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS2c.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS2b.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(DIS2a.C )
NET: delay(485 485), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tPTCLK), from(DIP0.PAD), to(X7.CE )
NET: delay(485 485), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tPTCLK), from(DIP0.PAD), to(X6.CE )
NET: delay(485 485), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tPTCLK), from(DIP0.PAD), to(X5.CE )
NET: delay(485 485), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tPTCLK), from(DIP0.PAD), to(X4.CE )
NET: delay(485 485), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tPTCLK), from(DIP0.PAD), to(X3.CE )
NET: delay(485 485), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tPTCLK), from(DIP0.PAD), to(X2.CE )
NET: delay(485 485), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tPTCLK), from(DIP0.PAD), to(X1.CE )
NET: delay(485 485), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tPTCLK), from(DIP0.PAD), to(X0.CE )
NET: delay(375 375), type(tFBK+tROUTE+tBLA*2+tMCELL), from(X7.Q ), to(Q0.D.X1 )
NET: delay(375 375), type(tFBK+tROUTE+tBLA*2+tMCELL), from(X7.Q ), to(Q1.D.X1 )
NET: delay(375 375), type(tFBK+tROUTE+tBLA*2+tMCELL), from(X7.Q ), to(Q2.D.X1 )
NET: delay(375 375), type(tFBK+tROUTE+tBLA*2+tMCELL), from(X7.Q ), to(LED7 )
NET: delay(400 400), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA+tMCELL), from(DIP1.PAD), to(LED7 )
NET: delay(400 400), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA+tMCELL), from(DIP1.PAD), to(LED6 )
NET: delay(400 400), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA+tMCELL), from(DIP1.PAD), to(LED5 )
NET: delay(400 400), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA+tMCELL), from(DIP1.PAD), to(LED4 )
NET: delay(400 400), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA+tMCELL), from(DIP1.PAD), to(LED3 )
NET: delay(400 400), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA+tMCELL), from(DIP1.PAD), to(LED2 )
NET: delay(400 400), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA+tMCELL), from(DIP1.PAD), to(LED1 )
NET: delay(400 400), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA+tMCELL), from(DIP1.PAD), to(LED0 )
NET: delay(370 370), type(tROUTE+tPTCLK), from(I1.TIMEROUT), to(timediv.C )
NET: delay(445 445), type(tFBK+tROUTE+tPTCLK), from(timediv.Q ), to(timediv2.C )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(timediv.Q ), to(timediv.D )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(Y6.Q ), to(Y7.D )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(Y6.Q ), to(Y0.D )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(Y6.Q ), to(LED14 )
NET: delay(375 375), type(tFBK+tROUTE+tBLA*2+tMCELL), from(Y5.Q ), to(Y6.D )
NET: delay(375 375), type(tFBK+tROUTE+tBLA*2+tMCELL), from(Y5.Q ), to(Y0.D )
NET: delay(375 375), type(tFBK+tROUTE+tBLA*2+tMCELL), from(Y5.Q ), to(LED13 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(Y4.Q ), to(Y5.D )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(Y4.Q ), to(Y0.D )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(Y4.Q ), to(LED12 )
NET: delay(375 375), type(tFBK+tROUTE+tBLA*2+tMCELL), from(Y3.Q ), to(Y4.D )
NET: delay(375 375), type(tFBK+tROUTE+tBLA*2+tMCELL), from(Y3.Q ), to(Y0.D )
NET: delay(375 375), type(tFBK+tROUTE+tBLA*2+tMCELL), from(Y3.Q ), to(LED11 )
NET: delay(375 375), type(tFBK+tROUTE+tBLA*2+tMCELL), from(Y2.Q ), to(Y3.D )
NET: delay(375 375), type(tFBK+tROUTE+tBLA*2+tMCELL), from(Y2.Q ), to(Y0.D )
NET: delay(375 375), type(tFBK+tROUTE+tBLA*2+tMCELL), from(Y2.Q ), to(LED10 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(Y1.Q ), to(Y2.D )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(Y1.Q ), to(Y0.D )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(Y1.Q ), to(LED9 )
NET: delay(375 375), type(tFBK+tROUTE+tBLA*2+tMCELL), from(Y0.Q ), to(Y1.D )
NET: delay(375 375), type(tFBK+tROUTE+tBLA*2+tMCELL), from(Y0.Q ), to(Y0.D )
NET: delay(375 375), type(tFBK+tROUTE+tBLA*2+tMCELL), from(Y0.Q ), to(LED8 )
NET: delay(385 385), type(tFBK+tROUTE+tBLA*4+tMCELL), from(S1.Q ), to(Q3_0 )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tBCLK), from(S1.Q ), to(Q0.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tBCLK), from(S1.Q ), to(Q1.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tPTCLK), from(S1.Q ), to(Q2.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tPTCLK), from(S1.Q ), to(Q3.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tBCLK), from(S1.Q ), to(Y7.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tPTCLK), from(S1.Q ), to(Y6.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tBCLK), from(S1.Q ), to(Y5.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tPTCLK), from(S1.Q ), to(Y4.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tPTCLK), from(S1.Q ), to(Y3.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tBCLK), from(S1.Q ), to(Y2.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tPTCLK), from(S1.Q ), to(Y1.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tBCLK), from(S1.Q ), to(Y0.C )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(Y7.Q ), to(LED15 )
NET: delay(515 515), type(tIN+tIOI(LVCMOS18)+tROUTE+tPTSR), from(S1_NO.PAD), to(S1.AP )
NET: delay(515 515), type(tIN+tIOI(LVCMOS18)+tROUTE+tBSR), from(S1_NC.PAD), to(S1.AR )
NET: delay(405 405), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tMCELL), from(S2_NO.PAD), to(Q0.D.X2 )
NET: delay(405 405), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tMCELL), from(S2_NO.PAD), to(Q1.D.X2 )
NET: delay(405 405), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tMCELL), from(S2_NO.PAD), to(Q1.D.X1 )
NET: delay(405 405), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tMCELL), from(S2_NO.PAD), to(Q2.D.X1 )
NET: delay(405 405), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tMCELL), from(S2_NO.PAD), to(Q3.D )
NET: delay(395 395), type(tIN+tIOI(LVCMOS18)+tROUTE+tMCELL), from(DIP2.PAD), to(Q3_0 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q3.Q ), to(Q3_0 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q3.Q ), to(P0.T )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q3.Q ), to(P1.D )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q3.Q ), to(P2.D )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q3.Q ), to(P3.D )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q3.Q ), to(Q0.D.X2 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q3.Q ), to(Q0.D.X1 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q3.Q ), to(Q1.D.X2 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q3.Q ), to(Q1.D.X1 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q3.Q ), to(Q2.D.X2 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q3.Q ), to(Q2.D.X1 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q3.Q ), to(Q3.D )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tPTCLK), from(Q3.Q ), to(Y7.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tBCLK), from(Q3.Q ), to(Y6.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tPTCLK), from(Q3.Q ), to(Y5.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tBCLK), from(Q3.Q ), to(Y4.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tBCLK), from(Q3.Q ), to(Y3.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tPTCLK), from(Q3.Q ), to(Y2.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tBCLK), from(Q3.Q ), to(Y1.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tPTCLK), from(Q3.Q ), to(Y0.CE )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q3.Q ), to(LED18 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q3.Q ), to(LED17 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q3.Q ), to(LED16 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q2.Q ), to(Q3_0 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q2.Q ), to(P0.T )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q2.Q ), to(P1.D )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q2.Q ), to(P2.D )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q2.Q ), to(P3.D )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q2.Q ), to(Q0.D.X1 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q2.Q ), to(Q1.D.X1 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q2.Q ), to(Q2.D.X1 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q2.Q ), to(Q3.D )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tPTCLK), from(Q2.Q ), to(Y7.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tBCLK), from(Q2.Q ), to(Y6.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tPTCLK), from(Q2.Q ), to(Y5.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tBCLK), from(Q2.Q ), to(Y4.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tBCLK), from(Q2.Q ), to(Y3.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tPTCLK), from(Q2.Q ), to(Y2.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tBCLK), from(Q2.Q ), to(Y1.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tPTCLK), from(Q2.Q ), to(Y0.CE )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q2.Q ), to(LED18 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q2.Q ), to(LED17 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q2.Q ), to(LED16 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q1.Q ), to(Q3_0 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q1.Q ), to(P0.T )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q1.Q ), to(P1.D )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q1.Q ), to(P2.D )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q1.Q ), to(P3.D )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q1.Q ), to(Q0.D.X1 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q1.Q ), to(Q1.D.X2 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q1.Q ), to(Q1.D.X1 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q1.Q ), to(Q2.D.X1 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q1.Q ), to(Q3.D )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tPTCLK), from(Q1.Q ), to(Y7.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tBCLK), from(Q1.Q ), to(Y6.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tPTCLK), from(Q1.Q ), to(Y5.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tBCLK), from(Q1.Q ), to(Y4.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tBCLK), from(Q1.Q ), to(Y3.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tPTCLK), from(Q1.Q ), to(Y2.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tBCLK), from(Q1.Q ), to(Y1.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tPTCLK), from(Q1.Q ), to(Y0.CE )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q1.Q ), to(LED18 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q1.Q ), to(LED17 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q1.Q ), to(LED16 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q0.Q ), to(Q3_0 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q0.Q ), to(P0.T )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q0.Q ), to(P1.D )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q0.Q ), to(P2.D )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q0.Q ), to(P3.D )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q0.Q ), to(Q0.D.X2 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q0.Q ), to(Q0.D.X1 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q0.Q ), to(Q1.D.X1 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q0.Q ), to(Q2.D.X1 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q0.Q ), to(Q3.D )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tPTCLK), from(Q0.Q ), to(Y7.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tBCLK), from(Q0.Q ), to(Y6.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tPTCLK), from(Q0.Q ), to(Y5.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tBCLK), from(Q0.Q ), to(Y4.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tBCLK), from(Q0.Q ), to(Y3.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tPTCLK), from(Q0.Q ), to(Y2.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tBCLK), from(Q0.Q ), to(Y1.CE )
NET: delay(475 475), type(tFBK+tROUTE+tBLA*6+tPTCLK), from(Q0.Q ), to(Y0.CE )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q0.Q ), to(LED18 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q0.Q ), to(LED17 )
NET: delay(395 395), type(tFBK+tROUTE+tBLA*6+tMCELL), from(Q0.Q ), to(LED16 )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(dd13.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(dd12.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(dd11.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(dd10.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(dd9.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(dd8.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(dd7.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(P0.T )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(P1.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(P2.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(P3.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(DIS2g.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(DIS2f.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(DIS2e.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(DIS2d.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(DIS2c.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(DIS2b.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(DIS2a.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(DIS1g )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(DIS1f )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(DIS1e )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(DIS1d )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(DIS1c )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(DIS1b )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P3.Q ), to(DIS1a )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(dd13.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(dd12.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(dd11.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(dd10.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(dd9.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(dd8.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(dd7.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(P0.T )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(P1.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(P2.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(P3.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(DIS2g.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(DIS2f.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(DIS2e.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(DIS2d.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(DIS2c.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(DIS2b.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(DIS2a.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(DIS1g )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(DIS1f )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(DIS1e )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(DIS1d )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(DIS1c )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(DIS1b )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P2.Q ), to(DIS1a )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(dd13.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(dd12.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(dd11.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(dd10.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(dd9.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(dd8.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(dd7.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(P0.T )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(P1.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(P2.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(P3.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(DIS2g.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(DIS2f.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(DIS2e.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(DIS2d.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(DIS2c.D )
